,state,Latitude,Longitude,question_id,poll_id,cycle,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,created_at,notes,url,stage,party,answer,candidate_id,candidate_name,pct,Date
26,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Booker,13287.0,Cory A. Booker,14.0,2019-03-20
27,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Harris,13288.0,Kamala D. Harris,16.0,2019-03-20
28,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,O'Rourke,13276.0,Beto O'Rourke,17.0,2019-03-20
29,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Sanders,13257.0,Bernard Sanders,27.0,2019-03-20
30,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Klobuchar,13310.0,Amy Klobuchar,2.0,2019-03-20
31,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Hickenlooper,13326.0,John Hickenlooper,1.0,2019-03-20
32,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Yang,13329.0,Andrew Yang,1.0,2019-03-20
33,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Castro,13316.0,Julián Castro,1.0,2019-03-20
34,Alabama,32.806671,-86.79113000000001,119495.0,64693.0,2020.0,1515.0,Data for Progress,,,Data for Progress,522.0,Data for Progress,B/C,237.0,lv,lv-d,Online/Text,U.S. President,2/27/20,3/2/20,,False,,False,False,3/3/20 06:21,,https://www.dataforprogress.org/memos/super-tuesday-final-polling,primary,DEM,Sanders,13257.0,Bernard Sanders,22.0,2020-02-27
35,Alabama,32.806671,-86.79113000000001,93812.0,57768.0,2020.0,1365.0,Change Research,,,Change Research,48.0,Change Research,C,1200.0,lv,lv-d,Online,U.S. President,3/20/19,3/23/19,,False,,False,False,3/26/19 22:13,,https://docsend.com/view/ursdyec,primary,DEM,Gabbard,13343.0,Tulsi Gabbard,1.0,2019-03-20
